label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.0,0.0,0.0,-0.09445808827877045,-0.06875722855329514,-0.05948314070701599,-0.1682753562927246,-0.16783174872398376,-0.10525327175855637,-0.12368587404489517,-0.20566989481449127,-0.15145328640937805,-0.025040358304977417,-0.22781357169151306,-0.1951773464679718,-0.12726517021656036,-0.4658183753490448,-0.10083916038274765,-0.16717304289340973,-0.6570705771446228,-0.16378392279148102,-0.18774093687534332,-0.7801082134246826,-0.193357452750206,-0.19342836737632751,-0.8938337564468384,-0.21155360341072083,-0.014927396550774574,-0.48739880323410034,-0.11548629403114319,0.01798625849187374,-0.694513201713562,-0.1803055852651596,0.054063018411397934,-0.83587646484375,-0.21308116614818573,0.09502547979354858,-0.9694194793701172,-0.22626551985740662,0.07381131500005722,-0.43402034044265747,-0.13412703573703766,0.051872629672288895,-0.3749205470085144,-0.2064400613307953,-0.0012749681482091546,-0.25464287400245667,-0.21959416568279266,-0.02543482556939125,-0.19177819788455963,-0.20898579061031342,0.13830338418483734,-0.3411776125431061,-0.1587350219488144,0.09264199435710907,-0.21397142112255096,-0.21264465153217316,0.036714375019073486,-0.11738812178373337,-0.2166159600019455,0.0021633589640259743,-0.0631934404373169,-0.20631766319274902
A,0.0,0.0,0.0,-0.08638487011194229,0.03723077476024628,-0.10009575635194778,-0.1777394562959671,-0.007241449784487486,-0.1595933735370636,-0.14376355707645416,-0.13759182393550873,-0.21482227742671967,-0.09455379098653793,-0.2709844708442688,-0.2647912800312042,-0.3371363878250122,-0.25259286165237427,-0.10507676750421524,-0.47228947281837463,-0.34666991233825684,-0.18076454102993011,-0.5651446580886841,-0.41718772053718567,-0.2250552475452423,-0.6451048254966736,-0.494361013174057,-0.2541220188140869,-0.27162426710128784,-0.3746224343776703,-0.1077561154961586,-0.37614792585372925,-0.5561550855636597,-0.18819458782672882,-0.43888285756111145,-0.6963304281234741,-0.23269036412239075,-0.4959372878074646,-0.8307227492332458,-0.2528754472732544,-0.17469428479671478,-0.41582363843917847,-0.12107734382152557,-0.1532680243253708,-0.46265944838523865,-0.23240064084529877,-0.08623207360506058,-0.3017527759075165,-0.24948284029960632,-0.04485153406858444,-0.1881382018327713,-0.2286980152130127,-0.06807292997837067,-0.4050319194793701,-0.14229492843151093,-0.03346015885472298,-0.3924577236175537,-0.23268185555934906,0.0010005822405219078,-0.2610042095184326,-0.23965884745121002,0.018630223348736763,-0.15902328491210938,-0.2230689823627472
A,0.0,0.0,0.0,-0.09596583247184753,-0.05798288807272911,-0.06818684935569763,-0.16918498277664185,-0.15935753285884857,-0.11654467135667801,-0.11983761191368103,-0.21604815125465393,-0.16414348781108856,-0.024387255311012268,-0.24991966784000397,-0.20949889719486237,-0.12475141137838364,-0.4617689251899719,-0.10234739631414413,-0.16349081695079803,-0.6501449942588806,-0.1679631918668747,-0.18426275253295898,-0.7737976312637329,-0.201756089925766,-0.19384051859378815,-0.889072835445404,-0.2225693166255951,-0.018460949882864952,-0.47921815514564514,-0.1138957291841507,0.014861434698104858,-0.693501353263855,-0.1813119351863861,0.05371343716979027,-0.8377736806869507,-0.21607834100723267,0.09265445172786713,-0.9686254858970642,-0.23060761392116547,0.06642518192529678,-0.4247899651527405,-0.13064338266849518,0.07081093639135361,-0.39355912804603577,-0.21241320669651031,0.02220654860138893,-0.2623136639595032,-0.22720232605934143,-0.010748300701379776,-0.17730067670345306,-0.2144915610551834,0.12885817885398865,-0.3310682773590088,-0.15345646440982819,0.1118244156241417,-0.2410704493522644,-0.2153007686138153,0.0602586567401886,-0.13674390316009521,-0.21850617229938507,0.017569251358509064,-0.06539329141378403,-0.20573484897613525
A,0.0,0.0,0.0,-0.030869940295815468,0.1333731859922409,-0.13657504320144653,-0.11673689633607864,0.2095375508069992,-0.22047989070415497,-0.155155748128891,0.06021072715520859,-0.2966992259025574,-0.19301292300224304,-0.11449582874774933,-0.36593231558799744,-0.40177202224731445,0.16252067685127258,-0.16553658246994019,-0.600979208946228,0.23702093958854675,-0.27144819498062134,-0.7283208966255188,0.28517988324165344,-0.32447293400764465,-0.8524007201194763,0.3135214149951935,-0.3532245457172394,-0.43229520320892334,-0.028330102562904358,-0.16427889466285706,-0.641693651676178,-0.05487227812409401,-0.2741507887840271,-0.7900323271751404,-0.08695906400680542,-0.3243083655834198,-0.9330416917800903,-0.11816317588090897,-0.33980968594551086,-0.38906535506248474,-0.18196573853492737,-0.1768340766429901,-0.34522929787635803,-0.2640620768070221,-0.3330976963043213,-0.15261827409267426,-0.2169906497001648,-0.3524361252784729,-0.02511681616306305,-0.1678023785352707,-0.3160150647163391,-0.3033338785171509,-0.3021204173564911,-0.1994769126176834,-0.22031886875629425,-0.33038267493247986,-0.32144972681999207,-0.09080053865909576,-0.26200687885284424,-0.3266162872314453,0.002253683051094413,-0.19278715550899506,-0.2982494831085205
A,0.0,0.0,0.0,-0.09705780446529388,-0.06629396229982376,-0.06326346099376678,-0.16792039573192596,-0.16816145181655884,-0.11116807907819748,-0.11830664426088333,-0.2137986272573471,-0.15984292328357697,-0.02391546219587326,-0.24145714938640594,-0.2064373791217804,-0.12174828350543976,-0.4700724184513092,-0.10036580264568329,-0.15561090409755707,-0.6609656810760498,-0.1665671318769455,-0.17292629182338715,-0.786790668964386,-0.2003401815891266,-0.1790902316570282,-0.9038384556770325,-0.22061611711978912,-0.01792139559984207,-0.4860900938510895,-0.11405818909406662,0.019885197281837463,-0.6915226578712463,-0.18257199227809906,0.05932639539241791,-0.8351497650146484,-0.21763673424720764,0.09872102737426758,-0.9676803350448608,-0.23205354809761047,0.06602684408426285,-0.43337133526802063,-0.13238662481307983,0.06994646787643433,-0.38683414459228516,-0.21326576173305511,0.019616229459643364,-0.24917253851890564,-0.22776472568511963,-0.015015135519206524,-0.1615777611732483,-0.21492773294448853,0.12829937040805817,-0.342652291059494,-0.1564909964799881,0.11095349490642548,-0.23725217580795288,-0.2148982286453247,0.05736543983221054,-0.13003477454185486,-0.21687087416648865,0.012864095158874989,-0.058699462562799454,-0.20368251204490662
A,0.0,0.0,0.0,-0.0956319123506546,-0.0658104196190834,-0.04666559398174286,-0.1884036511182785,-0.17366844415664673,-0.08427053689956665,-0.18313205242156982,-0.23073223233222961,-0.12644024193286896,-0.10992134362459183,-0.2432156354188919,-0.1685110330581665,-0.13155291974544525,-0.492728590965271,-0.07852011173963547,-0.17477717995643616,-0.6841124296188354,-0.1358359158039093,-0.197149857878685,-0.8046525716781616,-0.16454486548900604,-0.2056671679019928,-0.9141920208930969,-0.18273456394672394,-0.025197617709636688,-0.5074334740638733,-0.0998084545135498,-0.003853351343423128,-0.7157831192016602,-0.16354742646217346,0.02628800831735134,-0.8551034331321716,-0.19851015508174896,0.058160822838544846,-0.9753702282905579,-0.21276795864105225,0.06313489377498627,-0.45400142669677734,-0.1245700940489769,0.03806924819946289,-0.41384178400039673,-0.20487698912620544,-0.0256352536380291,-0.27067098021507263,-0.22400249540805817,-0.06806310266256332,-0.17434309422969818,-0.21463413536548615,0.12328696995973587,-0.3628026843070984,-0.15321333706378937,0.06787076592445374,-0.24460680782794952,-0.21322165429592133,-0.0010717479744926095,-0.12374502420425415,-0.2197938710451126,-0.05116058140993118,-0.04110990837216377,-0.21018846333026886
A,0.0,0.0,0.0,-0.10299312323331833,-0.046424221247434616,-0.07575307786464691,-0.16949407756328583,-0.15172556042671204,-0.12712620198726654,-0.10044487565755844,-0.20443259179592133,-0.1754796802997589,0.0028403489850461483,-0.24775280058383942,-0.221612349152565,-0.1296217441558838,-0.45836031436920166,-0.11184438318014145,-0.1734849214553833,-0.6489401459693909,-0.1741039901971817,-0.19711381196975708,-0.7703284025192261,-0.20466060936450958,-0.21026423573493958,-0.8871493339538574,-0.22521129250526428,-0.026022888720035553,-0.47870489954948425,-0.11983022838830948,0.015546223148703575,-0.6825816035270691,-0.18347272276878357,0.05441433936357498,-0.8276360630989075,-0.21639880537986755,0.09047446399927139,-0.9684388041496277,-0.23225124180316925,0.055023372173309326,-0.421421617269516,-0.13377107679843903,0.06316909939050674,-0.3989487886428833,-0.21441930532455444,0.021925345063209534,-0.2668108642101288,-0.235784649848938,-0.005022604949772358,-0.19019368290901184,-0.23125529289245605,0.1190987229347229,-0.32472559809684753,-0.15388117730617523,0.10758533328771591,-0.22260095179080963,-0.22301560640335083,0.056828200817108154,-0.11576205492019653,-0.23741886019706726,0.014234251342713833,-0.05348295718431473,-0.2345256209373474
A,0.0,0.0,0.0,-0.09519419074058533,-0.05265820026397705,-0.051537737250328064,-0.17817875742912292,-0.16857263445854187,-0.08870113641023636,-0.13958902657032013,-0.2510967254638672,-0.1289011836051941,-0.058579348027706146,-0.30337902903556824,-0.16702499985694885,-0.14944471418857574,-0.4682362973690033,-0.06999410688877106,-0.1980016529560089,-0.6491308212280273,-0.1256626695394516,-0.22469621896743774,-0.7626749873161316,-0.15680363774299622,-0.23980312049388885,-0.8681588172912598,-0.17713679373264313,-0.05192265659570694,-0.48899203538894653,-0.08709730952978134,-0.035796158015728,-0.7033036947250366,-0.14980171620845795,-0.012783234938979149,-0.849921464920044,-0.18684515357017517,0.014443641528487206,-0.9789234399795532,-0.2037159651517868,0.033293161541223526,-0.4439108967781067,-0.10880132764577866,0.03161827102303505,-0.4601331353187561,-0.1893431842327118,-0.010303560644388199,-0.31233710050582886,-0.20077556371688843,-0.036990437656641006,-0.20911912620067596,-0.18485426902770996,0.10072888433933258,-0.3618939220905304,-0.13492946326732635,0.07992693781852722,-0.3274765908718109,-0.19676779210567474,0.03052683174610138,-0.2180786281824112,-0.19671037793159485,-0.008437467738986015,-0.13668741285800934,-0.18083691596984863
A,0.0,0.0,0.0,-0.10362271219491959,-0.040424324572086334,-0.0620235837996006,-0.18203052878379822,-0.15112236142158508,-0.10494918376207352,-0.1429334580898285,-0.26075416803359985,-0.15006306767463684,-0.0716710314154625,-0.3498072624206543,-0.19217905402183533,-0.1902981698513031,-0.4375969171524048,-0.06828097254037857,-0.2559959590435028,-0.6039553880691528,-0.12749852240085602,-0.29645517468452454,-0.7157601118087769,-0.16309760510921478,-0.32420337200164795,-0.8219374418258667,-0.18679434061050415,-0.09844720363616943,-0.4736256003379822,-0.08364227414131165,-0.10201491415500641,-0.6914880275726318,-0.14850875735282898,-0.09520555287599564,-0.842279851436615,-0.18640261888504028,-0.08269647508859634,-0.9753915071487427,-0.20438402891159058,-0.01111385878175497,-0.44132235646247864,-0.1060553789138794,-0.0026646130718290806,-0.5002919435501099,-0.19521605968475342,-0.029319433495402336,-0.34747838973999023,-0.20791473984718323,-0.04406672716140747,-0.23595041036605835,-0.19136856496334076,0.06544248759746552,-0.37056592106819153,-0.13337098062038422,0.05986916273832321,-0.37841570377349854,-0.20317471027374268,0.025025028735399246,-0.2670760452747345,-0.20363764464855194,-0.0012406649766489863,-0.1798803061246872,-0.18720808625221252
A,0.0,0.0,0.0,-0.05790535733103752,0.1282505989074707,-0.10503044724464417,-0.16044509410858154,0.21428053081035614,-0.16795359551906586,-0.20226310193538666,0.13560201227664948,-0.22436025738716125,-0.24059468507766724,-0.004485268145799637,-0.2763185203075409,-0.46677467226982117,0.10870689898729324,-0.13120688498020172,-0.6630697250366211,0.1639513075351715,-0.2120625525712967,-0.7892013192176819,0.195444718003273,-0.2497878074645996,-0.9034437537193298,0.20134545862674713,-0.2710399627685547,-0.4708954393863678,-0.0643497109413147,-0.1353682577610016,-0.6774898171424866,-0.1132860854268074,-0.22509096562862396,-0.8085872530937195,-0.16412343084812164,-0.26937857270240784,-0.9321597814559937,-0.22418734431266785,-0.28428542613983154,-0.4142216742038727,-0.19197353720664978,-0.14904408156871796,-0.4073446989059448,-0.21768099069595337,-0.2725200057029724,-0.2955239713191986,-0.14996905624866486,-0.3084229528903961,-0.23076200485229492,-0.10544304549694061,-0.2998535633087158,-0.32209423184394836,-0.2870340645313263,-0.16933174431324005,-0.23071542382240295,-0.2386777102947235,-0.27200520038604736,-0.11585573107004166,-0.12658044695854187,-0.2926670014858246,-0.044755853712558746,-0.0406530499458313,-0.28459692001342773
